Student,Advisor
"Russell C. Swan","James Allan"
"Xavier Tannier","Jaap Kamps"
"Véronique Moriceau","Jaap Kamps"
"Timothy Chappell","Jaap Kamps"
"Matthew Trappett","Jaap Kamps"
"Sean Gerrish","David M. Blei"
"Prem Gopalan","David M. Blei"
"Martin H. C. Law","Anil K. Jain"
"Alexander P. Topchy","Anil K. Jain"
"Radha Chitta","Anil K. Jain"
"Chiyuan Zhang","Xiaofei He"
"Maximilian Nickel","Volker Tresp"
"Xueyan Jiang","Volker Tresp"
"Thomas Briegel","Volker Tresp"
"Reimar Hofmann","Volker Tresp"
"Achim Rettinger","Volker Tresp"
"Xin Wang 0010","Thomas G. Dietterich"
"Wei Zhang 0014","Thomas G. Dietterich"
"Alon Gonen","Shai Shalev-Shwartz"
"Amir Navot","Naftali Tishby"
"Roy Goldman","Jennifer Widom"
"Jason McHugh","Jennifer Widom"
"Jie Peng","Iadh Ounis"
"Yuping Lin","Gérard G. Medioni"
"Jan Prokaj","Gérard G. Medioni"
"Xuemei Zhao","Gérard G. Medioni"
"Dian Gong","Gérard G. Medioni"
"Michihiro Kuramochi","George Karypis"
"Santosh Kabbur","George Karypis"
"Rezwan Ahmed","George Karypis"
"Hamid Reza Maei","Csaba Szepesvári"
"Stefan Büttcher","Charles L. A. Clarke"
"Peter C. K. Yeung","Charles L. A. Clarke"
"Egidio L. Terra","Charles L. A. Clarke"
"Xiaoli Wang","Anthony K. H. Tung"
"Jingbo Zhou","Anthony K. H. Tung"
"Cheng Sheng","Yufei Tao"
"Wenjie Zhang","Xuemin Lin"
"Qianlu Lin","Xuemin Lin"
"Chuan Xiao","Xuemin Lin"
"James M. Kang","Shashi Shekhar"
"Mete Celik","Shashi Shekhar"
"Dev Oliver","Shashi Shekhar"
"James A. Shine","Shashi Shekhar"
"Xun Zhou","Shashi Shekhar"
"Uygar Ozesmi","Shashi Shekhar"
"Sivakumar Ravada","Shashi Shekhar"
"Renee Laubscher","Shashi Shekhar"
"Michael R. Evans","Shashi Shekhar"
"KwangSoo Yang","Shashi Shekhar"
"Joseph Knight","Shashi Shekhar"
"D. Sivakumar","Ravi Kumar"
"Hong Hua","Narendra Ahuja"
"Huaifeng Zhang","Longbing Cao"
"Zhigang Zheng","Longbing Cao"
"Yuming Ou","Longbing Cao"
