Name,Cooperator,Support,Confidence,Weight
"Kenji Fukumizu","Arthur Gretton",11,0.5,0.5242002904034848
"Arthur Zimek","Peer Kröger",10,0.5,0.522000264003168
"Abdur Chowdhury","Eric C. Jensen",9,0.5,0.5198002376028512
"Claudio Lucchese","Salvatore Orlando",8,0.5,0.5176002112025344
"Frans Coenen","Paul H. Leng",7,0.5,0.5154001848022176
"Albrecht Zimmermann","Björn Bringmann",6,0.5,0.5132001584019008
"Andreas F. Koschan","David L. Page",5,0.5,0.511000132001584
"David Wai-Lok Cheung","Ben Kao",13,0.48148148148148145,0.5100818246855999
"Jun Yan","Shuicheng Yan",17,0.4722222222222222,0.5096226710276078
"Alexander M. Bronstein","Michael M. Bronstein",4,0.5,0.5088001056012672
"Adrian Silvescu","Dae-Ki Kang",3,0.5,0.5066000792009504
"Alexandros Kalousis","Adam Woznica",12,0.48,0.5064003168038016
"Ophir Frieder","David A. Grossman",11,0.4782608695652174,0.5024611599687022
"Fei Wang 0001","Changshui Zhang",20,0.45454545454545453,0.4985459825517906
"Yun Chi","Shenghuo Zhu",10,0.47619047619047616,0.4981907401936442
"Feifei Li","Ke Yi",9,0.47368421052631576,0.493484448129167
"Man Lung Yiu","Nikos Mamoulis",13,0.4642857142857143,0.4928860574898328
"Yu Cheng","Yusheng Xie",8,0.47058823529411764,0.48818844649665205
"Maja Pantic","Stefanos Zafeiriou",12,0.46153846153846156,0.48793877834226324
"Adam Kowalczyk","Herman L. Ferrá",7,0.4666666666666667,0.4820668514688843
"Kian-Lee Tan","Beng Chin Ooi",25,0.423728813559322,0.4787294735672421
"Bo Liu","Yanshan Xiao",10,0.45454545454545453,0.47654571854862254
"Shusaku Tsumoto","Shoji Hirano",23,0.42592592592592593,0.4765265331332124
"Fabrizio Angiulli","Fabio Fassetti",6,0.46153846153846156,0.47473861994036237
"Latifur Khan","Mohammad M. Masud",12,0.4444444444444444,0.4708447612482461
"Venu Govindaraju","Sergey Tulyakov",9,0.45,0.4698002376028512
"Alberto Del Bimbo","Pietro Pala",5,0.45454545454545453,0.46554558654703854
"Shiguang Shan","Wen Gao",11,0.44,0.46420029040348487
"Shenghuo Zhu","Yihong Gong",17,0.425,0.46240044880538567
"Ankit Agrawal","Yusheng Xie",8,0.4444444444444444,0.46204465564697883
"Alistair Moffat","Justin Zobel",15,0.42857142857142855,0.4615718245761806
"Tie-Yan Liu","Hang Li",18,0.4186046511627907,0.4582051263684932
"Limsoon Wong","Guimei Liu",10,0.43478260869565216,0.4567828726988202
"Hanghang Tong","Christos Faloutsos",22,0.4074074074074074,0.45580798821437707
"Peng Zhang","Li Guo",14,0.42424242424242425,0.45504279384685953
"Anastasios Kementsietsidis","Kavitha Srinivas",4,0.4444444444444444,0.4532445500457116
"Alexander C. Berg","Tamara L. Berg",7,0.4375,0.4529001848022176
"Bhavani M. Thuraisingham","Latifur Khan",15,0.4166666666666667,0.44966706267141876
"Xiaogang Wang","Xiaoou Tang",18,0.4090909090909091,0.4486913842966116
"Alessandro Lazaric","Mohammad Ghavamzadeh",9,0.42857142857142855,0.44837166617427976
"Alok N. Choudhary","Yu Cheng",13,0.41935483870967744,0.4479551819137959
"Jianmin Wang 0001","Guiguang Ding",11,0.4230769230769231,0.44727721348040794
"Pascal Fua","Vincent Lepetit",23,0.39655172413793105,0.44715233134521754
"Stan Z. Li","Zhen Lei",16,0.41025641025641024,0.4454568326614791
"Alessandro Moschitti","Aliaksei Severyn",6,0.42857142857142855,0.44177158697332936
"Ying Zhang","Xuemin Lin",12,0.41379310344827586,0.4401934202520775
"Xuemin Lin","Wenjie Zhang",18,0.4,0.4396004752057025
"Peer Kröger","Arthur Zimek",10,0.4166666666666667,0.4386669306698347
"Guo-Jun Qi","Jinhui Tang",8,0.42105263157894735,0.43865284278148176
"Hong Cheng","Jiawei Han",15,0.40540540540540543,0.4384058014101575
"Charu C. Aggarwal","Philip S. Yu",38,0.35185185185185186,0.4354528550638904
"A. G. Amitha Perera","Glen Brooksby",3,0.42857142857142855,0.43517150777237895
"Thomas Seidl 0001","Stephan Günnemann",21,0.3888888888888889,0.4350894432955418
"Ben Kao","David Wai-Lok Cheung",13,0.40625,0.4348503432041185
"Wei Wang 0010","Jiong Yang",17,0.3953488372093023,0.432749286014688
"Magdalena Balazinska","Dan Suciu",9,0.4090909090909091,0.42889114669376033
"Edleno Silva de Moura","Nivio Ziviani",5,0.4166666666666667,0.4276667986682507
"Céline Robardet","Marc Plantevit",7,0.4117647058823529,0.42716489068457053
"Lei Li","Christos Faloutsos",13,0.3939393939393939,0.4225397371435124
"Aijun An","Xiangji Huang",10,0.4,0.42200026400316804
"Changshui Zhang","Fei Wang 0001",20,0.37735849056603776,0.42135901857237384
"Feiping Nie","Chris H. Q. Ding",14,0.3888888888888889,0.41968925849332417
"Jun Zhu","Bo Zhang",15,0.38461538461538464,0.4176157806201367
"Gabriella Kazai","Marijn Koolen",8,0.4,0.41760021120253443
"Beng Chin Ooi","Kian-Lee Tan",25,0.36231884057971014,0.41731950058763023
"Javed A. Aslam","Virgiliu Pavlu",11,0.39285714285714285,0.4170574332606277
"Enhong Chen","Qi Liu",16,0.38095238095238093,0.4161528033574498
"Kai Yu","Volker Tresp",17,0.37777777777777777,0.41517822658316345
"Bongki Moon","Sang-Won Lee",6,0.4,0.41320015840190083
"Glenn Fung","R. Bharat Rao",9,0.391304347826087,0.4111045854289382
"Andrew K. C. Wong","Yang Wang 0007",4,0.4,0.4088001056012672
"Volker Tresp","Kai Yu",17,0.3695652173913043,0.40696566619669
"Xingquan Zhu","Xindong Wu",18,0.3673469387755102,0.4069474139812127
"Ofer Dekel","Yoram Singer",10,0.38461538461538464,0.40661564861855265
"Belle L. Tseng","Xiaodan Song",7,0.3888888888888889,0.4042890736911065
"Patrick Gallinari","Ludovic Denoyer",11,0.3793103448275862,0.403510635231071
"Deepak Agarwal","Bee-Chung Chen",12,0.375,0.40140031680380167
"Wai Lam","Tak-Lam Wong",15,0.36585365853658536,0.39885405454133743
"Alexander T. Ihler","Qiang Liu",8,0.38095238095238093,0.39855259215491534
"Abraham Bookstein","Shmuel T. Klein",5,0.38461538461538464,0.39561551661696864
"Anton van den Hengel","Qinfeng Shi",9,0.375,0.3948002376028512
"Jianzhong Li","Hong Gao",10,0.37037037037037035,0.39237063437353836
"Yi Chang","Anlei Dong",11,0.36666666666666664,0.3908669570701515
"Jun Zhu","Eric P. Xing",14,0.358974358974359,0.38977472857879425
"Zheng Chen","Qiang Yang 0001",25,0.3333333333333333,0.3883339933412534
"Claudia Perlich","Brian Dalessandro",6,0.375,0.3882001584019008
"Bao-Gang Hu","Shuang-Hong Yang",7,0.3684210526315789,0.38382123743379654
"Ada Wai-Chee Fu","Raymond Chi-Wing Wong",15,0.3488372093023256,0.38183760530707767
"Alex Beutel","Meng Jiang",3,0.375,0.3816000792009504
"Gui-Rong Xue","Wenyuan Dai",8,0.36363636363636365,0.38123657483889806
"Tsuhan Chen","Andrew C. Gallagher",14,0.35,0.38080036960443525
"Alfons Kemper","Thomas Neumann 0001",9,0.36,0.3798002376028512
"Luc De Raedt","Siegfried Nijssen",12,0.35294117647058826,0.37934149327438993
"Daphna Weinshall","Aharon Bar-Hillel",10,0.35714285714285715,0.37914312114602516
"Aixin Sun","Ee-Peng Lim",11,0.3548387096774194,0.3790390000809042
"Yong Yu","Gui-Rong Xue",18,0.3333333333333333,0.3729338085390358
"Aapo Hyvärinen","Patrik O. Hoyer",4,0.36363636363636365,0.37243646923763085
"Rajeev Rastogi","Kyuseok Shim",12,0.34285714285714286,0.36925745966094453
"Dominik Janzing","Joris M. Mooij",5,0.35714285714285715,0.36814298914444116
"Fei Sha","Kristen Grauman",11,0.34375,0.3679502904034848
"Hang Li","Tie-Yan Liu",18,0.32727272727272727,0.36687320247842975
"Erik B. Sudderth","Alan S. Willsky",10,0.3448275862068966,0.3668278502100646
"Byron Choi","Haibo Hu",6,0.35294117647058826,0.36614133487248907
"Wei Fan","Philip S. Yu",30,0.3,0.3660007920095041
"Jianliang Xu","Byron Choi",9,0.34615384615384615,0.36595408375669736
"Jiliang Tang","Huiji Gao",8,0.34782608695652173,0.36542629815905614
"Arthur Zimek","Erich Schubert",7,0.35,0.3654001848022176
"Enhong Chen","Hui Xiong",14,0.3333333333333333,0.3641337029377686
"Jun Yan","Benyu Zhang",12,0.3333333333333333,0.359733650137135
"Shai Shalev-Shwartz","Yoram Singer",15,0.32608695652173914,0.3590873525264912
"Huan Xu","Shie Mannor",11,0.3333333333333333,0.3575336237368182
"Bernhard Pfahringer","Albert Bifet",10,0.3333333333333333,0.35533359733650133
"Jiaya Jia","Li Xu",9,0.3333333333333333,0.3531335709361845
"Anil K. Jain","Rong Jin",15,0.3191489361702128,0.35214933217496486
"Evgeniy Gabrilovich","Andrei Z. Broder",8,0.3333333333333333,0.3509335445358677
"Ping Luo","Min Wang",12,0.32432432432432434,0.350724641128126
"Anand Rangarajan","Steven Gold",7,0.3333333333333333,0.3487335181355509
"Ji-Rong Wen","Wei-Ying Ma",11,0.3235294117647059,0.34772970216819077
"Ankit Agrawal","Kunpeng Zhang",6,0.3333333333333333,0.3465334917352341
"Clement T. Yu","Weiyi Meng",15,0.3125,0.3455003960047521
"Chunhua Shen","Qinfeng Shi",10,0.3225806451612903,0.3445809091644583
"Assaf Schuster","Izchak Sharfman",5,0.3333333333333333,0.3443334653349173
"Lei Chen 0002","Xiang Lian",16,0.3076923076923077,0.3428927300973766
"Aarti Singh","Akshay Krishnamurthy",4,0.3333333333333333,0.3421334389346005
"Ravi Kumar","Andrew Tomkins",14,0.3111111111111111,0.3419114807155464
"Eyke Hüllermeier","Krzysztof Dembczynski",9,0.32142857142857145,0.34122880903142266
"Steven C. H. Hoi","Peilin Zhao",17,0.30357142857142855,0.3409718773768142
"Ah Chung Tsoi","Andrew D. Back",3,0.3333333333333333,0.3399334125342837
"Alon Y. Halevy","Jayant Madhavan",11,0.3142857142857143,0.3384860046891991
"Christopher Leckie","Jeffrey Chan",8,0.32,0.3376002112025344
"Chris H. Q. Ding","Heng Huang",25,0.2808988764044944,0.3358995364124145
"Dorin Comaniciu","Bogdan Georgescu",10,0.3125,0.334500264003168
"Le Song","Alexander J. Smola",12,0.3076923076923077,0.3340926244961094
"Howard J. Hamilton","Robert J. Hilderman",7,0.3181818181818182,0.3335820029840358
"Ming-Syan Chen","Philip S. Yu",30,0.26548672566371684,0.33148751767322093
"Chengqi Zhang","Xingquan Zhu",13,0.3023255813953488,0.3309259245994673
"Ying Zhang","Wenjie Zhang",9,0.3103448275862069,0.3301450651890581
